match_id,phase,round,group,team_a,team_b,kickoff_utc,status,home_score,away_score,result,winner,api_fixture_id,source,updated_at
GA1,Group stage,Group stage,A,Mexico,South Africa,,scheduled,,,,,,results.csv template,
GA2,Group stage,Group stage,A,South Korea,Czechia,,scheduled,,,,,,results.csv template,
GA3,Group stage,Group stage,A,Czechia,South Africa,,scheduled,,,,,,results.csv template,
GA4,Group stage,Group stage,A,Mexico,South Korea,,scheduled,,,,,,results.csv template,
GA5,Group stage,Group stage,A,Czechia,Mexico,,scheduled,,,,,,results.csv template,
GA6,Group stage,Group stage,A,South Africa,South Korea,,scheduled,,,,,,results.csv template,
GB1,Group stage,Group stage,B,Canada,Bosnia and Herzegovina,,scheduled,,,,,,results.csv template,
GB2,Group stage,Group stage,B,Qatar,Switzerland,,scheduled,,,,,,results.csv template,
GB3,Group stage,Group stage,B,Switzerland,Bosnia and Herzegovina,,scheduled,,,,,,results.csv template,
GB4,Group stage,Group stage,B,Canada,Qatar,,scheduled,,,,,,results.csv template,
GB5,Group stage,Group stage,B,Switzerland,Canada,,scheduled,,,,,,results.csv template,
GB6,Group stage,Group stage,B,Bosnia and Herzegovina,Qatar,,scheduled,,,,,,results.csv template,
GC1,Group stage,Group stage,C,Brazil,Morocco,,scheduled,,,,,,results.csv template,
GC2,Group stage,Group stage,C,Haiti,Scotland,,scheduled,,,,,,results.csv template,
GC3,Group stage,Group stage,C,Scotland,Morocco,,scheduled,,,,,,results.csv template,
GC4,Group stage,Group stage,C,Brazil,Haiti,,scheduled,,,,,,results.csv template,
GC5,Group stage,Group stage,C,Scotland,Brazil,,scheduled,,,,,,results.csv template,
GC6,Group stage,Group stage,C,Morocco,Haiti,,scheduled,,,,,,results.csv template,
GD1,Group stage,Group stage,D,United States,Paraguay,,scheduled,,,,,,results.csv template,
GD2,Group stage,Group stage,D,Australia,Türkiye,,scheduled,,,,,,results.csv template,
GD3,Group stage,Group stage,D,Türkiye,Paraguay,,scheduled,,,,,,results.csv template,
GD4,Group stage,Group stage,D,United States,Australia,,scheduled,,,,,,results.csv template,
GD5,Group stage,Group stage,D,Türkiye,United States,,scheduled,,,,,,results.csv template,
GD6,Group stage,Group stage,D,Paraguay,Australia,,scheduled,,,,,,results.csv template,
GE1,Group stage,Group stage,E,Germany,Curaçao,,scheduled,,,,,,results.csv template,
GE2,Group stage,Group stage,E,Ivory Coast,Ecuador,,scheduled,,,,,,results.csv template,
GE3,Group stage,Group stage,E,Ecuador,Curaçao,,scheduled,,,,,,results.csv template,
GE4,Group stage,Group stage,E,Germany,Ivory Coast,,scheduled,,,,,,results.csv template,
GE5,Group stage,Group stage,E,Ecuador,Germany,,scheduled,,,,,,results.csv template,
GE6,Group stage,Group stage,E,Curaçao,Ivory Coast,,scheduled,,,,,,results.csv template,
GF1,Group stage,Group stage,F,Netherlands,Japan,,scheduled,,,,,,results.csv template,
GF2,Group stage,Group stage,F,Sweden,Tunisia,,scheduled,,,,,,results.csv template,
GF3,Group stage,Group stage,F,Tunisia,Japan,,scheduled,,,,,,results.csv template,
GF4,Group stage,Group stage,F,Netherlands,Sweden,,scheduled,,,,,,results.csv template,
GF5,Group stage,Group stage,F,Tunisia,Netherlands,,scheduled,,,,,,results.csv template,
GF6,Group stage,Group stage,F,Japan,Sweden,,scheduled,,,,,,results.csv template,
GG1,Group stage,Group stage,G,Belgium,Egypt,,scheduled,,,,,,results.csv template,
GG2,Group stage,Group stage,G,Iran,New Zealand,,scheduled,,,,,,results.csv template,
GG3,Group stage,Group stage,G,New Zealand,Egypt,,scheduled,,,,,,results.csv template,
GG4,Group stage,Group stage,G,Belgium,Iran,,scheduled,,,,,,results.csv template,
GG5,Group stage,Group stage,G,New Zealand,Belgium,,scheduled,,,,,,results.csv template,
GG6,Group stage,Group stage,G,Egypt,Iran,,scheduled,,,,,,results.csv template,
GH1,Group stage,Group stage,H,Spain,Cape Verde,,scheduled,,,,,,results.csv template,
GH2,Group stage,Group stage,H,Saudi Arabia,Uruguay,,scheduled,,,,,,results.csv template,
GH3,Group stage,Group stage,H,Uruguay,Cape Verde,,scheduled,,,,,,results.csv template,
GH4,Group stage,Group stage,H,Spain,Saudi Arabia,,scheduled,,,,,,results.csv template,
GH5,Group stage,Group stage,H,Uruguay,Spain,,scheduled,,,,,,results.csv template,
GH6,Group stage,Group stage,H,Cape Verde,Saudi Arabia,,scheduled,,,,,,results.csv template,
GI1,Group stage,Group stage,I,France,Senegal,,scheduled,,,,,,results.csv template,
GI2,Group stage,Group stage,I,Iraq,Norway,,scheduled,,,,,,results.csv template,
GI3,Group stage,Group stage,I,Norway,Senegal,,scheduled,,,,,,results.csv template,
GI4,Group stage,Group stage,I,France,Iraq,,scheduled,,,,,,results.csv template,
